＠	@マークつけてわざわざ不快な言葉言ってくる人って、余程わたしが嫌いなんでしょうね。でも、人間色々、そんな人がいるのも当たり前だし、いても良いと思ってる。	記号	三森すずこ https://twitter.com/mimori_suzuko/statuses/190760329242877953
あさからふゆかい	朝から不愉快。	名詞	井澤詩織 https://twitter.com/shiori_izawa/status/467114325660794881
いも	んっ？！！これは…焼きイモの匂い？！焼きイモの匂いがする！！お腹すいたなぁ(*´ω｀*)	名詞	大空直美 https://twitter.com/osorasan703/status/458869643088642048
おいちょっとつらかせや	おいちょっと面貸せやRT 男も…ないっ！(おやすみなさい)	名詞	明坂聡美 https://twitter.com/akekodao/status/454407540441227264
おっぱいはゆれてないからね	や、おっぱいは揺れてないからね（笑）	名詞	竹達彩奈 https://twitter.com/Ayana_take/statuses/162076119531667457
おなかいっぱい	…まだお腹いっぱい…な気がする…(｡-_-｡)	名詞	堀江由衣 https://twitter.com/kuronekounion/status/456936966148198400
おはよう	おはござーい_(┐「ε:)_	名詞	小松未可子 https://twitter.com/mikakokomatsu/status/459475250736930817
おはようございます	金が………………無いっ！！(おはようございます)	名詞	明坂聡美 https://twitter.com/akekodao/status/454406809898319873
かねがないっ	金が………………無いっ！！(おはようございます)	名詞	明坂聡美 https://twitter.com/akekodao/status/454406809898319873
けっこんだけじゃないから	結婚だけじゃないから！結婚だけじゃないから！！！！！。・゜・(ノД`)・゜・。	名詞	明坂聡美 https://twitter.com/akekodao/status/455040714523430912
じしん	や、おっぱいは揺れてないからね（笑）	名詞	竹達彩奈 https://twitter.com/Ayana_take/statuses/162076119531667457
じしん	https://twitter.com/Ayana_take/statuses/162076119531667457	名詞	竹達彩奈 https://twitter.com/Ayana_take/statuses/162076119531667457
たいふう	うん…ワルプルギスだね	名詞	加藤英美里 https://twitter.com/Emiryun/statuses/392989197247606784
たいふう	https://twitter.com/Emiryun/statuses/392989197247606784	名詞	加藤英美里 https://twitter.com/Emiryun/statuses/392989197247606784
なんとかなった	なんとかなったー＼＼\\٩( 'ω' )و //／／	名詞	小松未可子 https://twitter.com/mikakokomatsu/status/459374566351974400
ねたにまじれすしたらあかんで	ネタにマジレスしたらあかんで	名詞	小松未可子 https://twitter.com/mikakokomatsu/statuses/355131364728778753
ふぁみま	ファミマにいこう！⊂(・×・)⊃	名詞	三森すずこ https://twitter.com/mimori_suzuko/statuses/392468943593435136
ぼけー	( ･_･)ぼけー	名詞	加藤英美里 https://twitter.com/Emiryun/statuses/392862817625190400
